S#,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
294,Saba Rasheed Malik,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2009,"Data mining, Business Intelligence, and Social Computing.",
295,Shafiq-ur-Rehman,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,MS,"Dresden University Of Technology, Dresden ",Germany,2002,"Human Computer Interaction, M-commerce, User Acceptance on IT and Requirement Engineering.",
296,Shizra Sultan,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,2015,,
297,Arifa Sarwar,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2012,,
298,Zeeshan Waheed,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,"International Islamic University,Islamabad",Pakistan,2011,,
299,Abdul Samad,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,"International Islamic University,Islamabad",Pakistan,2013,,
300,Ahmad Ali,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2013,,
301,Hareem-e-Sahar,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2014,,
302,Hassan Raza,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,"COMSATS Institute of Information Technology,Vehari",Pakistan,2016,,
303,Muhammad Zubair Farooqi,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,"COMSATS Institute of Information Technology,Wah Cantt",Pakistan,2015,"Cognitive Radio Networks,Wireless sensor Networks,Internet of Things


",
304,Sheryar Rashid,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,Ghulam Ishaq Khan Institute of Science and Technology,Pakistan,2012,,
305,Atique ur Rehman,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2015,,
306,Hina Zafar,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BIT,National University of Sciences and Technology,Pakistan,2011,,
307,Ifrah Qaisar,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,National University of Sciences and Technology,Pakistan,2015,,
308,Javaria Imtiaz,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,"International Islamic University,Islamabad",Pakistan,2014,,
309,Muhammad Nauman,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,COMSATS Institute of Information Technology,Pakistan,2013,,
310,Rafia Rahim,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2014,,
311,Shahroz Nadeem,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2014,,
312,Shoaib Saleem Khatak,FAST-NU(Islamabad),Computer Science,Capital,Lecturer,BS,FAST– National University of Computer and Emerging Sciences,Pakistan,2012,,
313,Professor Dr. Muhammad Sher ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Professor,PhD,TU Berlin,Germany,,Next Generation Networks and Security,
314,Dr. Ayyaz Hussain,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Associate Professor/Chairman,PhD,"FAST– National University of Computer and Emerging Sciences,Islamabad",Pakistan,,"Image Processing, Pattern Recognition, Machine Learning and Data Mining, Computational Intelligence Techniques",
315, Dr. Ali Daud ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Associate Professor,PhD,Tsinghua University,China,2010,"Text Mining,Information Retrieval, Information Extraction, Social Network Analysis, Machine Learning, Graphical Models, Topic Models",
316,Dr. Husnain Abbas Naqvi ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,PhD,The University of Auckland,New Zealand,,"Professional Software Development and Analysis, Statistical Software Engineering, Stochastic Process, Sensor Networks, Collaborative Communications and Information Security",
317,Dr. Muhammad Adeel,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,PhD,"International Islamic University,Islamabad",Pakistan,,Network Routing Algorithms,
318,Dr. Qaisar Javaid,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor/In Charge,PhD,,,,Computer Networks and Security,
319,Dr. Jamal Abdul Nasir,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,PhD,Lahore University of Management Sciences,Pakistan,,"Natural Language Processing, Text Mining ",
320,Dr. Shehzad Ashraf Chaudhry,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,PhD,,,,"Networks, Communication",
321,Dr. Muhammad Ahsan Qureshi,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,PhD,,,,,
322,Mr. Asim Munir,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,,Digital Image Processing And Computer Vision,PhD in progress
323,Mr. M. Imran Saeed,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,,"Database Designing and Database, Data Mining, Datawarehousing",PhD in progress
324,Mr. Muhammad Nadeem,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,,"Digital Image Processing and Computer Vision, Computer Graphics",PhD in progress
325,Mr. Shahbaz Ahmed Khan Ghayyur,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,,S/W Engineering,PhD in progress
326,Mr. Zulqarnain,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,,,,"Open Source Development, WEB 3.0, ERP",PhD in progress
327,Mr. Usman Nasir ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,,,,,
328,Mr. Imran Khan,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,,,PhD in progress
329,Dr. Qamar Abbas,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,,,,,,
330,Dr. Anwar Ghani,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,PhD,,,,"Networks, Communication",
331,Mr. Sameer Akram,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MSc,"International Islamic University,Islamabad",Pakistan,,"Computer Networks, OS, Computer Architecture",MS in progress
332,Mr. Iftikhar Ali Khan,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,,Data Warehousing (ETL),
333,Mr. Syed Musharaf Ali,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer/Research Associate,,,,,,
334,Mr. Raja Sher Afgun Usmani,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Senior Lab Engineer,,,,,,
335,Mr. Idrees Ahmad,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lab Engineer,,,,,,
336,Dr. Mahmood Niazi,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Professor,PhD,University of Technology,Australia,,,
337,Dr. Tehmina Amjad,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor/Acting Chairperson,PhD,"International Islamic University,Islamabad",Pakistan,,"Information Retrieval, Data Mining, Social Network Analysis, Probabilistic Topic Models, Machine Learning, Data Grids",
338,Dr. Almas Abbasi,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,PhD,,,,,
339,Ms. Salma Imtiaz,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,,"Requirement Engineering, Global Software Development, Project Management.",PhD in progress
340,Ms. Zakia Jalil,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,,,PhD in progress
341,Ms. Asma Batool Naqvi,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,,,,,
342,Ms. Fareeha Anwar,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MSCS,,,,"Image Processing, computer vision, Pattern Recognition",PhD in progress
343,Ms. Sadia Arshid,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,,,
344,Ms. Shaista Rasheed ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,Lahore University of Management Sciences,Pakistan,2005,,
345,Ms. Maria Ashraf ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,,,,Computer Networks,
346,Ms. Saima Imtiaz,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,Mohammad Ali Jinnah University,Pakistan,,,
347,Ms. Saima Iqbal ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,,,,,
348,Ms. Umara Zahid,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,,,,,,
349,Ms. Parkha Bashir Khan ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,,,,"Optimization Algorithms, Network Modeling and Simulation",PhD in progress
350,Ms. Humaira Ashraf,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,,,,,,
351,Ms. Asma Khatoon,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,,,,,,
352,Ms. Aasma Sajjad,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,,Image Processing,
353,Ms. Talat Ambreen,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer/Research Associate,,,,,,
354,Ms. Samina Bilal,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Director  ,BS,,,,,MS in progress
355,MUHAMAMD NAVEED ALAM,National University of Modern Languages,Computer Science,Capital,Head of Department,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,2005,"Data Mining, Bioinformatics",
356,Dr M Hanif Zaouq,National University of Modern Languages,Computer Science,Capital,Assistant Professor,,,,,,
357,MOHAMMAD RAZA PERWEZ,National University of Modern Languages,Computer Science,Capital,Assistant Professor,MS,IQRA University,Pakistan,2010,"Communication & Networks,Databases",
358,FAZLI SUBHAN,National University of Modern Languages,Computer Science,Capital,Assistant Professor,,,,,,
359,SAJJAD HAIDER,National University of Modern Languages,Computer Science,Capital,Assistant Professor,PhD,Universiti Teknologi PETRONAS,Malaysia,2012,"Indoor Positioning Systems, Mobility management,Handover in Wireless Communication.",
360,KH.MOYEEZULLAH GHORI,National University of Modern Languages,Computer Science,Capital,Assistant Professor,MS,"FAST– National University of Computer and Emerging Sciences,Islamabad",Pakistan,2004,"Databases, Data Warehousing,  Artificial Intelligence,Data structures, Algorithms",
361,HINA ALI,National University of Modern Languages,Computer Science,Capital,Assistant Professor,,,,,,
362,ATA ULLAH GHAFOOR,National University of Modern Languages,Computer Science,Capital,Assistant Professor,MS,"COMSATS Institute of Information Technology,Islamabad",Pakistan,2007,"Wireless Sensor Networks Security, Mobile Application Development, VoIP, Cloud Computing, Next Generation Networks, IMS, VOLTE ",PhD in progress from IIU
363,DR NOMAN MALIK,National University of Modern Languages,Computer Science,Capital,Assistant Professor,PhD,"Razak School of Engineering and Advanced Technology, Universiti Teknologi Malaysia (UTM)",Malaysia,2015,"Human Computer Interaction (HCI), Knowledge Management , Software Project Management, Management Information System (MIS)

",
364,Dr Huma Hayat Khan,National University of Modern Languages,Computer Science,Capital,Assistant Professor,,,,,,
365,FOUZIA JAMAL GOREJA,National University of Modern Languages,Computer Science,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,2015,"Language Teaching, Applied linguistics (Language teaching) and Literature.",
366,ABDUL KALEEM,National University of Modern Languages,Computer Science,Capital,Lecturer,BS,National University of Modern Languages,Pakistan,2005,"Artificial Intelligence, Programming, algorithms,Data warehousing,Databases",
367,RANA ABDUL SAMI KHAN,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,University of Engineering and Technology,Pakistan,2009,"Language Definition & Translators, Data Structures, Algorithms & Programming",
368,SARAH MAZHAR,National University of Modern Languages,Computer Science,Capital,Lecturer,MCS,University Institute of Information Technology,Pakistan,2006,,
369,MUHAMMAD EHSAN UL HAQ,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,IQRA University,Pakistan,2009,"Computer Networks, Communication, Operating System",
370,SAJIDA NAVEED,National University of Modern Languages,Computer Science,Capital,Lecturer,MA,National University of Modern Languages,Pakistan,2003,,
371,Mr Waris Ali,National University of Modern Languages,Computer Science,Capital,Lecturer,,,,,,
372,SAJID MUNIR,National University of Modern Languages,Computer Science,Capital,Lecturer,MCS,University of Arid Agriculture,Pakistan,2007,"Web Application Development, Databases, Programming",
373,Mr Waqas Hassan,National University of Modern Languages,Computer Science,Capital,Lecturer,,,,,,
374,Ms Fatima Khalique,National University of Modern Languages,Computer Science,Capital,Lecturer,,,,,,
375,ZAINAB MALIK,National University of Modern Languages,Computer Science,Capital,Lecturer,Mphil,Quaid-i-Azam University,Pakistan,2013,"Wireless Multihop Networks, Bandwidth Estimation and Reservation,IEEE 802.11 and IEEE 802.11e",
376,Mr. Zohaib Ahmed,National University of Modern Languages,Computer Science,Capital,Lecturer,,,,,,
377,UNSA MASOOD SATTI,National University of Modern Languages,Computer Science,Capital,Lecturer,MPhil,Quaid-i-Azam University,Pakistan,2013,"Wireless Multihop Networks, Bandwidth Estimation and Reservation,IEEE 802.11 and IEEE 802.11e",
378,Ms Sidra Zafar,National University of Modern Languages,Computer Science,Capital,Lecturer,,,,,,
379,SOHAIL AHMED DAYO,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,National University of Sciences and Technology,Pakistan,2013,,
380,SHAMAILA QAYYUM,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,2012,"Software Engineering, Success/failure of ERP implementation, Usability, Requirements Prioritization ",PhD in progress
381,ASIM REHAN,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,"FAST– National University of Computer and Emerging Sciences,Islamabad",Pakistan,2015,"Machine Learning, Data Mining, Evolutionary Algorithms, Artificial Intelligence ",
382,Uzair Iqbal,National University of Modern Languages,Computer Science,Capital,Lecturer,,,,,,
383,ADEEL AHMED,National University of Modern Languages,Computer Science,Capital,Lecturer,MPhil,Quaid-i-Azam University,Pakistan,2011,"Large Scale Schema Matching and Integration, Machine Learning & Pattern Recognition, Social Network Analysis, Information Retrieval Systems (Recommender Systems),Semantic Web, Software Re-engineering, Bioinformatics  ",
384,Fahad Tahir,Air University,Computer Science,Capital,Assistant Professor,PhD,Queen Mary University of London,UK,,"Computer Vision, Data Analysis , Pattern Matching, Video Surveillance, Object Tracking and Re-Identification",
385,Sheikh Muhammad Qasim,Air University,Computer Science,Capital,Professor,PhD,University of Illinois,Urbana,,,
386,Mehdi Hassan,Air University,Computer Science,Capital,Assistant Professor,PhD,Pakistan Institute of Engineering and Applied Sciences,Pakistan,,"Biomedical Image Processing and Analysis, Pattern Recognition, Machine Learning",
387,Ahmad Jalal,Air University,Computer Science,Capital,Assistant Professor,Post Doc,Pohang University of Science and Technology,South Korea,,"Multimedia design and system, Human computer interaction, Computer Vision, Artificial Intelligence, Image processing, Computer Graphics",
388,Omer Ishaq Hassan,Air University,Computer Science,Capital,Assistant Professor,PhD,Uppsala University,Sweden,,Image analysis & Deep learning,
389,Aamer Hanif,Air University,Computer Science,Capital,Assistant Professor,MS,"FAST– National University of Computer and Emerging Sciences,Islamabad",Pakistan,,"Data Mining, Quality Management, Project Management",
390,Imran Ihsan,Air University,Computer Science,Capital,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,,"Semantic Web, Ontology Engineering, Data Sciences",PhD in progress from Capital University of Science & Technology
391,Atta ur Rehman Khan,Air University,Computer Science,Capital,Associate Professor,PhD,University of Malaya,Malaysia,,"Cybersecurity, Mobile Cloud Computing, and IoT",
392,Muhammad Shafi,Air University,Computer Science,Capital,Associate Professor,PhD,Loughborough University,UK,,Computer Vision,
393,Shaharyar Kamal,Air University,Computer Science,Capital,Assistant Professor,PhD,Kyung Hee University,South Korea,,"Wireless Networks and Security, 5G and Internet of Things.",
394,Farah Haneef,Air University,Computer Science,Capital,Lecturer,Mphil,Quaid-i-Azam University,Pakistan,,"Social Networks Analysis, Software Testing, Algorithm Design and Development.","PhD in progress from  Quaid-e-Azam University, Islamabad 
"
395,Sabih Ul Hassan,Air University,Computer Science,Capital,Lecturer,MSc,,UK,,Applications of 8053 Micro Processor,
396,Mehwish Shaffiq,Air University,Computer Science,Capital,Lecturer,MSc,University of Liverpool,UK,,Software Engineering Web Technologies,
397,Faisal Fayyaz,Air University,Computer Science,Capital,Lecturer,MS,University of Sunderland,UK,,Software Engineering,
398,Asif Jamal,Air University,Computer Science,Capital,Lecturer,MS,Mid Sweden University,Sweden,,"Wireless Sensors, Cluster & Cloud Computing, Programming.",
399,Syed Atif Muqurrab,Air University,Computer Science,Capital,Lecturer,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,"Data Privacy, Artificial Intelligence, Digital Marketing, Web Development",PhD in progress from COMSATS
400,Sidra Siddiqui,Air University,Computer Science,Capital,Lecturer,MS,"Bahria University,Islamabad",Pakistan,,,
401,Sajid Riaz,Air University,Computer Science,Capital,Lecturer,MS,Lahore University of Management Sciences,Pakistan,,,
402,Dr. Faisal Bashir,"Bahria University,Islamabad",Computer Science,Capital,Head of Department,Post Doc,Chosun University,South Korea,2013,"Ad hoc Networks, Wireless Sensor Networks, Wireless Personal Area Networks and Wireless Body Area Networks",
403,Dr Muhammad Ramzan ,"Bahria University,Islamabad",Computer Science,Capital,Professor,PhD,Quaid-i-Azam University,Pakistan,2010,  Wave Mechanics/Fluid Mechanics,
404,Mr. Fazal Wahab,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,,,,,,
405,Mr. Rashid Karim,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,MSc,University of Sussex,UK,1991,"Formal Languages , Compiler Design, Quality in Education",
406,Mr. Imtiaz Ali Khan,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,,,,,,
407,Dr. Imran Ahmed Siddqui,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,Paris Descartes University,France,2009,,
408,Dr. Muhammad Muzammal,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,University of Leicester,UK,2012,"Data Science, e-Learning, Software Engineering, Augmented/Virtual Reality",
409,Dr. Shagufta Henna,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,University of Leicester,UK,2013,"Mobile Ad hoc Networks, Wireless Sensor Networks (WSNs), Wireless Body Area Networks, Coverage in WSNs, Software Defined Networking, Massive Machine Type Access in Future Generation Networks, Low Power Wide Area Networks (LPWAN), Adaptive Data Rate in LPWAN, Approximation Algorithms, and NP-hard problems in Wireless Sensor Networks, Wireless Chargeable Sensor Networks",
410,Dr. Sumaira Kausar,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,National University of Sciences and Technology,Pakistan,2014,"Pattern recognition, image analysis, machine learning.",
411,Dr. Samabia Tahsin,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,National University of Sciences and Technology,Pakistan,2014,"Digital Image Processing, Document Analysis, Computer Vision",
412,Dr.Arif ur Rehman,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,University of Porto,Portugal,2013,"Digital Preservation, Database Preservation, Information Retrieval, Information Systems",
413,Dr. Muhammad Asfand-e-yar,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,Vienna University of Technology,Austria,2011,"Semantic Web Technology, Smart Technologies, Digital Right Management Systems",
414,Ms. Saima Jawad ,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,MS,University of Manchester,UK,1995,"Learning Systems,Quality in Higher Education",
415,Dr. Sabina Akhtar,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,PhD,"Université Henri Poincaré, Nancy 1,",France,2012,"Distributed Algorithms, Formal Methods, Model Checking",
416,Dr. Muneeb Gohar,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,PhD,Kyungpook National University,South Korea,2012,,
417,Mr. Suroor Zaidi,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,MS,Bahria University,Pakistan,2016,Software Engineering,
418,Mr. Assad Iqbal,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,MS,Centre for Advanced Studies in Engineering,Pakistan,2011,"Engineering Education, Human Factors in Engineering, Big Data and Cloud.",
419,Mr. Ghulam Ali Mirza,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,2010,"Data Integration, Image Processing",
420,Ms. Ambrina Kanwal,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,2008,"Cryptography,Numerical Computing",
421,Mr Khushal Shah,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,MS,Queen Mary University of London,UK,2013,"Distributed Computing, Cloud Computing, Grid Computing, Database Systems.",
422,Dr. Waqas Aman,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,"Norwegian University of Science and Technology (NTNU),",Norway,2016,"Security in Critical Infrastructures, Privacy, Security in Smart Ecosystems, Application Security, Risk Management, Adaptive Security, Internet of Things(IoT), Big Data Security.",
423,Dr.Jaffar Aman,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,PhD,The Islamia University of Bahawalpur ,Pakistan,2016,,
424,Dr.Ubaid Ahmed Nisar,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,PhD,COMSATS Institute of Information Technology,Pakistan,2017,,
425,Dr. Kashif Naseer,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,PhD,Universiti Technologi,Malaysia,2016,,
426,Ms. Mahvish Pervaiz,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,MS,Bahria University,Pakistan,2015,speech processing and data mining,
427,Ms. Alyia Amir,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,MS,California State University,USA,2003,Data Mining,
428,Ms. Fouzia Tauqeer,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,Mphil,Quaid-i-Azam University,Pakistan,2011,"Statistical quality control and quality management, Linear profile methodologies for statistical process control",
429,Mr.Ali Irfan,"Bahria University,Islamabad",Computer Science,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,2013,,
430,Mr Abdul Hannan,"Bahria University,Islamabad",Computer Science,Capital,Senior Lecturer,MS,"Bahria University,Islamabad",Pakistan,2014,Telecommunication and Networking,
431,Ms. Erum Ashraf,"Bahria University,Islamabad",Computer Science,Capital,Senior Lecturer,MS,"International Islamic University,Islamabad",Pakistan,2012,Software Engineering,
432,Ms.Momina Moetesum,"Bahria University,Islamabad",Computer Science,Capital,Senior Lecturer,MS,"Bahria University,Islamabad",Pakistan,2011,Image Analysis and Pattern Classification,PhD in progress from Bahria University
433,Ms. Anum Ayaz,"Bahria University,Islamabad",Computer Science,Capital,Senior Lecturer,MS,"Bahria University,Islamabad",Pakistan,2013,,
434,Ms. Romana Talat,"Bahria University,Islamabad",Computer Science,Capital,Senior Lecturer,MS,"Bahria University,Islamabad",Pakistan,2016,Image Processing,
435,Ms. Sameen Arshad,"Bahria University,Islamabad",Computer Science,Capital,Senior Lecturer,MS,,,,,
436,Mr. Usman Shafique,"Bahria University,Islamabad",Computer Science,Capital,Senior Lecturer,MS,COMSATS Institute of Information Technology,Pakistan,2016,Information Security,
437,Ms. Naila Shaheen,"Bahria University,Islamabad",Computer Science,Capital,Senior Lecturer,MPhil,Quaid-i-Azam University,Pakistan,2011,"Non-Newtonian Fluid, Analytic Solutions Homotopy, Analysis Method",
438,Mr. Talha Naqash,"Bahria University,Islamabad",Computer Science,Capital,Lecturer,PhD,University of Genova,Italy,2017,,
439,Ms. Iqra Javed,"Bahria University,Islamabad",Computer Science,Capital,Lecturer,MS,National University of Sciences and Technology,Pakistan,2013,"Text mining, Bi-lingual Social network Analysis, Semantic analysis.",
440,Zain ul Abideen,"Bahria University,Islamabad",Computer Science,Capital,Lecturer,BS,"University of Engineering and Technology,Taxila",Pakistan,2004,,"MS in progress from UET,Taxila"
441,Mr. Umar Khatak,"Bahria University,Islamabad",Computer Science,Capital,Lecturer,MS,University of Liverpool John Moores University,UK,2009,Information Systems,
442,Ms. Anum Kaleem,"Bahria University,Islamabad",Computer Science,Capital,Lecturer,MS,Bahria University,Pakistan,2015,Online Reputation Management Systems,
443,Ms. Maryam Khalid Multani,"Bahria University,Islamabad",Computer Science,Capital,Senior Lecturer,MS,National University of Sciences and Technology,Pakistan,2007,Internet of Things; Cloud Computing; Ad hoc Networks; Wireless Sensor Networks; Optical Networks; Algorithm Design and Optimization;,
444,Mr. Saeed ur Rehman,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,Bahria University,Pakistan,2013,Educational data mining,MS in progress from Bahria University
445,Mr. Sabahuddin Waqar,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,Bahria University,Pakistan,2013,,
446,Mr. Zain Bin Khalid,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,MS,National University of Sciences and Technology,Pakistan,2017,"Introduction to EMC/EMI,  Document Writing using LATEX ",
447,Ms. Ramsha Baig,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,Bahria University,Pakistan,2015,"Cloud Computing , Artficial Intelligence",MS in progress from Bahria University
448,Mr. Ramis Ali,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,MS,"Bahria University,Islamabad",Pakistan,,web ontologies,
449,Ms. Umarah Qaseem,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,COMSATS Institute of Information Technology,Pakistan,2016,"Natural Language Processing, Artificial Intelligence and Robotics.",MS in progress from National University of Sciences and Technology
450,Mr. Junaid Aslam,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,"Bahria University,Islamabad",Pakistan,2016,,MS in progress from Bahria University
451,Mr. Sikandar Hayat,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,"Bahria University,Islamabad",Pakistan,2015,,
452,Mr. Basma Batool Khan,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,"Bahria University,Islamabad",Pakistan,2016,,MS in progress from Bahria University
453,Mrs. Maryam Bibi,"Bahria University,Islamabad",Computer Science,Capital,Jr.Lecturer,BS,"Bahria University,Islamabad",Pakistan,2016,Image Processing,
454,Prof. Dr. Muhammad Abdul Qadir,Capital University of Science and Technology,Computer Science,Capital,Professor/Dean,PhD,Guildford,UK,1995,"Semantic Computing: Semantic Digital Libraries, Ontology evaluation, Ontology mapping and merging, Semantic Cache Query Processing, Semantic Extraction from Multimedia Objects, Semantic Search Engines, Semantic based Learning Systems, Semantic based Query Refinement for WWW, Deep Web Mining Distributed Computing: Networks (IP and Transport Services), Bandwidth Aggregation for Heterogeneous Networks, Fault Tolerance Cryptography and Cryptanalysis, Algorithms, Bioinformatics ",
